#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Power,Is_Augmented
2,Ivysaur,395,62,57,64,74,81,57,1,0,Poison,1
2,Ivysaur,415,53,68,69,81,82,62,1,0,Poison,1
2,Ivysaur,405,61,63,61,85,76,59,1,0,Poison,1
2,Ivysaur,400,58,62,66,80,75,59,1,0,Poison,1
2,Ivysaur,418,66,67,68,81,72,64,1,0,Poison,1
2,Ivysaur,409,55,66,62,87,80,59,1,0,Poison,1
2,Ivysaur,408,51,64,63,83,84,63,1,0,Poison,1
2,Ivysaur,415,59,64,62,78,88,64,1,0,Poison,1
2,Ivysaur,404,59,63,68,76,71,67,1,0,Poison,1
2,Ivysaur,407,58,57,62,83,84,63,1,0,Poison,1
2,Ivysaur,407,64,63,62,80,76,62,1,0,Poison,1
2,Ivysaur,388,58,59,62,82,74,53,1,0,Poison,1
2,Ivysaur,390,59,62,59,77,78,55,1,0,Poison,1
2,Ivysaur,410,59,66,64,81,79,61,1,0,Poison,1
2,Ivysaur,421,62,68,65,83,82,61,1,0,Poison,1
2,Ivysaur,399,59,60,63,78,79,60,1,0,Poison,1
2,Ivysaur,397,60,59,59,79,78,62,1,0,Poison,1
2,Ivysaur,398,59,61,61,80,78,59,1,0,Poison,1
2,Ivysaur,390,59,57,59,76,75,64,1,0,Poison,1
2,Ivysaur,410,64,62,64,84,72,64,1,0,Poison,1
2,Ivysaur,398,59,61,63,78,83,54,1,0,Poison,1
2,Ivysaur,403,61,62,60,82,78,60,1,0,Poison,1
2,Ivysaur,405,61,56,66,82,79,61,1,0,Poison,1
2,Ivysaur,409,59,60,68,82,83,57,1,0,Poison,1
2,Ivysaur,405,57,63,58,82,85,60,1,0,Poison,1
2,Ivysaur,419,64,67,64,86,83,55,1,0,Poison,1
2,Ivysaur,403,62,62,59,84,75,61,1,0,Poison,1
2,Ivysaur,409,56,59,65,88,85,56,1,0,Poison,1
2,Ivysaur,392,60,64,60,77,74,57,1,0,Poison,1
2,Ivysaur,403,55,61,63,79,85,60,1,0,Poison,1
2,Ivysaur,434,55,69,65,92,87,66,1,0,Poison,1
2,Ivysaur,409,65,65,62,81,80,56,1,0,Poison,1
2,Ivysaur,396,57,61,58,80,84,56,1,0,Poison,1
2,Ivysaur,414,65,57,64,85,85,58,1,0,Poison,1
2,Ivysaur,407,59,59,64,84,81,60,1,0,Poison,1
2,Ivysaur,402,61,55,66,79,81,60,1,0,Poison,1
2,Ivysaur,403,58,61,65,82,75,62,1,0,Poison,1
2,Ivysaur,389,61,54,61,80,71,62,1,0,Poison,1
2,Ivysaur,396,57,63,59,75,81,61,1,0,Poison,1
2,Ivysaur,390,58,64,63,69,77,59,1,0,Poison,1
2,Ivysaur,413,61,64,59,78,85,66,1,0,Poison,1
2,Ivysaur,419,67,63,70,77,82,60,1,0,Poison,1
2,Ivysaur,384,60,57,62,77,70,58,1,0,Poison,1
2,Ivysaur,406,55,64,65,87,80,55,1,0,Poison,1
2,Ivysaur,402,60,65,62,81,75,59,1,0,Poison,1
2,Ivysaur,398,61,67,60,79,72,59,1,0,Poison,1
2,Ivysaur,419,56,63,66,82,91,61,1,0,Poison,1
2,Ivysaur,398,60,62,62,71,80,63,1,0,Poison,1
2,Ivysaur,398,59,61,61,77,80,60,1,0,Poison,1
2,Ivysaur,413,61,62,64,78,85,63,1,0,Poison,1
2,Ivysaur,402,57,63,60,80,80,62,1,0,Poison,1
2,Ivysaur,395,57,58,61,77,78,64,1,0,Poison,1
2,Ivysaur,406,61,60,65,84,75,61,1,0,Poison,1
2,Ivysaur,404,60,64,56,78,87,59,1,0,Poison,1
2,Ivysaur,404,62,63,59,78,79,63,1,0,Poison,1
2,Ivysaur,395,58,59,65,81,77,55,1,0,Poison,1
2,Ivysaur,408,58,67,58,82,77,66,1,0,Poison,1
2,Ivysaur,405,62,59,66,82,71,65,1,0,Poison,1
2,Ivysaur,394,57,63,65,76,73,60,1,0,Poison,1
2,Ivysaur,399,57,59,60,82,78,63,1,0,Poison,1
2,Ivysaur,415,56,65,65,77,87,65,1,0,Poison,1
2,Ivysaur,390,60,60,56,77,78,59,1,0,Poison,1
2,Ivysaur,418,59,61,67,86,85,60,1,0,Poison,1
2,Ivysaur,401,61,58,67,84,72,59,1,0,Poison,1
2,Ivysaur,408,58,59,70,83,81,57,1,0,Poison,1
2,Ivysaur,401,59,62,61,82,80,57,1,0,Poison,1
2,Ivysaur,405,58,63,59,80,84,61,1,0,Poison,1
2,Ivysaur,418,61,64,65,85,80,63,1,0,Poison,1
2,Ivysaur,399,56,63,63,76,82,59,1,0,Poison,1
2,Ivysaur,397,60,61,64,79,76,57,1,0,Poison,1
2,Ivysaur,409,58,59,61,81,95,55,1,0,Poison,1
2,Ivysaur,406,61,62,57,82,80,64,1,0,Poison,1
2,Ivysaur,418,62,61,65,85,86,59,1,0,Poison,1
2,Ivysaur,398,57,64,60,72,84,61,1,0,Poison,1
2,Ivysaur,407,62,61,61,83,77,63,1,0,Poison,1
2,Ivysaur,413,58,58,64,82,89,62,1,0,Poison,1
3,Venusaur,525,80,82,83,100,100,80,1,0,Poison,0
3,Venusaur,531,85,78,82,107,101,78,1,0,Poison,1
3,Venusaur,523,84,81,82,99,101,76,1,0,Poison,1
3,Venusaur,541,80,82,84,107,103,85,1,0,Poison,1
3,Venusaur,517,80,83,77,99,102,76,1,0,Poison,1
3,Venusaur,510,77,75,79,102,101,76,1,0,Poison,1
3,Venusaur,527,76,82,85,106,101,77,1,0,Poison,1
3,Venusaur,513,77,78,81,108,95,74,1,0,Poison,1
3,Venusaur,525,84,78,84,96,98,85,1,0,Poison,1
3,Venusaur,562,87,88,86,104,109,88,1,0,Poison,1
3,Venusaur,525,80,75,83,105,107,75,1,0,Poison,1
3,Venusaur,532,77,85,80,103,107,80,1,0,Poison,1
3,Venusaur,533,81,90,84,99,98,81,1,0,Poison,1
3,Venusaur,543,79,82,85,113,102,82,1,0,Poison,1
3,Venusaur,541,81,89,87,99,100,85,1,0,Poison,1
3,Venusaur,530,81,79,88,97,104,81,1,0,Poison,1
3,Venusaur,530,81,81,83,106,98,81,1,0,Poison,1
3,Venusaur,530,81,80,88,105,102,74,1,0,Poison,1
3,Venusaur,544,81,89,87,100,104,83,1,0,Poison,1
3,Venusaur,519,73,80,78,100,101,87,1,0,Poison,1
3,Venusaur,545,81,93,83,97,106,85,1,0,Poison,1
3,Venusaur,505,77,77,86,92,97,76,1,0,Poison,1
3,Venusaur,541,84,78,87,107,103,82,1,0,Poison,1
3,Venusaur,499,78,86,75,96,90,74,1,0,Poison,1
3,Venusaur,521,74,86,82,99,103,77,1,0,Poison,1
3,Venusaur,515,74,88,81,99,93,80,1,0,Poison,1
3,Venusaur,522,88,78,81,99,101,75,1,0,Poison,1
3,Venusaur,541,81,85,87,96,105,87,1,0,Poison,1
3,Venusaur,532,77,86,80,109,99,81,1,0,Poison,1
3,Venusaur,507,80,84,80,95,88,80,1,0,Poison,1
3,Venusaur,522,77,81,82,108,96,78,1,0,Poison,1
3,Venusaur,529,78,82,79,102,102,86,1,0,Poison,1
3,Venusaur,540,75,85,85,108,103,84,1,0,Poison,1
3,Venusaur,528,88,79,81,104,94,82,1,0,Poison,1
3,Venusaur,517,81,82,86,92,100,76,1,0,Poison,1
3,Venusaur,522,83,80,82,99,97,81,1,0,Poison,1
3,Venusaur,513,85,77,73,98,100,80,1,0,Poison,1
3,Venusaur,521,73,81,84,102,100,81,1,0,Poison,1
3,Venusaur,545,79,86,82,108,104,86,1,0,Poison,1
3,Venusaur,522,80,84,84,97,98,79,1,0,Poison,1
3,Venusaur,506,76,79,78,98,99,76,1,0,Poison,1
3,Venusaur,507,75,88,82,94,93,75,1,0,Poison,1
3,Venusaur,527,76,77,79,105,112,78,1,0,Poison,1
3,Venusaur,511,75,83,80,104,90,79,1,0,Poison,1
3,Venusaur,538,80,80,89,109,99,81,1,0,Poison,1
3,Venusaur,520,78,78,83,105,94,82,1,0,Poison,1
3,Venusaur,521,81,86,88,95,94,77,1,0,Poison,1
3,Venusaur,515,82,80,79,101,93,80,1,0,Poison,1
3,Venusaur,512,78,76,85,97,98,78,1,0,Poison,1
3,Venusaur,504,79,72,78,94,93,88,1,0,Poison,1
3,Venusaur,526,85,83,82,94,99,83,1,0,Poison,1
3,Venusaur,518,82,82,83,95,97,79,1,0,Poison,1
3,Venusaur,525,79,84,83,99,96,84,1,0,Poison,1
3,Venusaur,519,84,85,83,94,87,86,1,0,Poison,1
3,Venusaur,530,83,82,83,103,98,81,1,0,Poison,1
3,Venusaur,528,86,75,83,101,100,83,1,0,Poison,1
3,Venusaur,526,80,80,83,96,104,83,1,0,Poison,1
3,Venusaur,530,74,78,87,103,107,81,1,0,Poison,1
3,Venusaur,540,85,88,84,103,101,79,1,0,Poison,1
3,Venusaur,520,80,71,82,104,99,84,1,0,Poison,1
3,Venusaur,533,80,89,85,103,98,78,1,0,Poison,1
3,Venusaur,519,80,78,89,102,97,73,1,0,Poison,1
3,Venusaur,505,74,73,85,95,102,76,1,0,Poison,1
3,Venusaur,538,83,81,92,105,100,77,1,0,Poison,1
3,Venusaur,509,82,79,80,97,92,79,1,0,Poison,1
3,Venusaur,530,83,79,84,96,109,79,1,0,Poison,1
3,Venusaur,527,84,77,79,102,108,77,1,0,Poison,1
3,Venusaur,495,74,80,75,89,98,79,1,0,Poison,1
3,Venusaur,518,77,82,77,105,96,81,1,0,Poison,1
3,Venusaur,534,88,86,79,99,104,78,1,0,Poison,1
3,Venusaur,522,85,88,74,101,93,81,1,0,Poison,1
3,Venusaur,533,79,82,85,100,112,75,1,0,Poison,1
3,Venusaur,537,83,86,85,101,97,85,1,0,Poison,1
3,Venusaur,506,79,79,77,99,94,78,1,0,Poison,1
3,Venusaur,539,80,87,88,103,100,81,1,0,Poison,1
3,Venusaur,526,79,86,84,99,97,81,1,0,Poison,1
3,Venusaur,519,80,80,80,100,101,78,1,0,Poison,1
3,Venusaur,525,75,86,84,105,93,82,1,0,Poison,1
3,Venusaur,523,83,80,85,96,101,78,1,0,Poison,1
3,Venusaur,532,80,82,82,109,100,79,1,0,Poison,1
3,Venusaur,515,73,78,86,102,96,80,1,0,Poison,1
3,Venusaur,530,79,82,86,96,107,80,1,0,Poison,1
3,Venusaur,524,82,83,85,94,101,79,1,0,Poison,1
3,Venusaur,551,91,90,86,102,103,79,1,0,Poison,1
3,Venusaur,520,78,84,83,99,99,77,1,0,Poison,1
3,Venusaur,520,75,81,93,96,105,70,1,0,Poison,1
3,Venusaur,532,86,77,83,100,102,84,1,0,Poison,1
3,Venusaur,524,86,80,86,95,104,73,1,0,Poison,1
3,Venusaur,532,82,81,86,92,107,84,1,0,Poison,1
3,Venusaur,517,80,78,81,101,102,75,1,0,Poison,1
3,Venusaur,524,74,82,81,103,100,84,1,0,Poison,1
3,Venusaur,538,84,84,90,102,97,81,1,0,Poison,1
3,Venusaur,541,82,88,88,107,99,77,1,0,Poison,1
3,Venusaur,517,77,89,82,97,97,75,1,0,Poison,1
3,Venusaur,515,82,76,83,98,97,79,1,0,Poison,1
3,Venusaur,517,82,81,80,98,103,73,1,0,Poison,1
3,Venusaur,525,79,83,80,102,102,79,1,0,Poison,1
3,Venusaur,534,76,82,87,104,107,78,1,0,Poison,1
3,Venusaur,528,82,80,80,99,103,84,1,0,Poison,1
3,Venusaur,509,82,77,82,101,93,74,1,0,Poison,1
3,VenusaurMega Venusaur,625,80,100,123,122,120,80,1,0,Poison,0
3,VenusaurMega Venusaur,623,79,104,131,121,114,74,1,0,Poison,1
3,VenusaurMega Venusaur,622,80,106,118,122,114,82,1,0,Poison,1
3,VenusaurMega Venusaur,638,82,109,123,128,117,79,1,0,Poison,1
3,VenusaurMega Venusaur,628,86,99,127,115,126,75,1,0,Poison,1
3,VenusaurMega Venusaur,641,87,104,119,123,128,80,1,0,Poison,1
3,VenusaurMega Venusaur,626,84,97,144,112,116,73,1,0,Poison,1
3,VenusaurMega Venusaur,601,80,98,116,112,113,82,1,0,Poison,1
3,VenusaurMega Venusaur,622,84,99,118,123,122,76,1,0,Poison,1
3,VenusaurMega Venusaur,631,89,99,121,121,118,83,1,0,Poison,1
3,VenusaurMega Venusaur,619,79,104,123,109,124,80,1,0,Poison,1
3,VenusaurMega Venusaur,627,79,101,127,118,125,77,1,0,Poison,1
3,VenusaurMega Venusaur,637,79,105,121,130,123,79,1,0,Poison,1
3,VenusaurMega Venusaur,640,80,104,120,122,129,85,1,0,Poison,1
3,VenusaurMega Venusaur,628,86,100,119,118,128,77,1,0,Poison,1
3,VenusaurMega Venusaur,630,81,97,124,134,112,82,1,0,Poison,1
3,VenusaurMega Venusaur,606,74,106,112,122,119,73,1,0,Poison,1
3,VenusaurMega Venusaur,650,86,101,137,124,119,83,1,0,Poison,1
3,VenusaurMega Venusaur,621,80,94,121,121,122,83,1,0,Poison,1
3,VenusaurMega Venusaur,615,79,92,126,120,117,81,1,0,Poison,1
3,VenusaurMega Venusaur,631,80,105,123,122,119,82,1,0,Poison,1
3,VenusaurMega Venusaur,611,77,107,117,118,112,80,1,0,Poison,1
3,VenusaurMega Venusaur,626,79,101,115,127,122,82,1,0,Poison,1
3,VenusaurMega Venusaur,631,87,107,124,129,107,77,1,0,Poison,1
3,VenusaurMega Venusaur,617,80,100,116,118,122,81,1,0,Poison,1
3,VenusaurMega Venusaur,611,75,101,127,108,122,78,1,0,Poison,1
3,VenusaurMega Venusaur,624,86,105,113,119,121,80,1,0,Poison,1
3,VenusaurMega Venusaur,626,76,102,124,126,119,79,1,0,Poison,1
3,VenusaurMega Venusaur,637,79,95,137,122,120,84,1,0,Poison,1
3,VenusaurMega Venusaur,629,84,100,122,117,125,81,1,0,Poison,1
3,VenusaurMega Venusaur,655,84,100,131,126,132,82,1,0,Poison,1
3,VenusaurMega Venusaur,630,78,102,131,126,114,79,1,0,Poison,1
3,VenusaurMega Venusaur,657,89,110,124,128,129,77,1,0,Poison,1
3,VenusaurMega Venusaur,635,87,107,131,118,120,72,1,0,Poison,1
3,VenusaurMega Venusaur,617,74,95,125,116,128,79,1,0,Poison,1
3,VenusaurMega Venusaur,628,70,100,127,130,119,82,1,0,Poison,1
3,VenusaurMega Venusaur,608,83,96,118,119,120,72,1,0,Poison,1
3,VenusaurMega Venusaur,595,73,100,116,114,116,76,1,0,Poison,1
3,VenusaurMega Venusaur,628,77,99,132,129,109,82,1,0,Poison,1
3,VenusaurMega Venusaur,644,80,104,121,135,122,82,1,0,Poison,1
3,VenusaurMega Venusaur,633,82,108,129,117,118,79,1,0,Poison,1
3,VenusaurMega Venusaur,623,84,92,118,130,125,74,1,0,Poison,1
3,VenusaurMega Venusaur,626,84,104,121,119,117,81,1,0,Poison,1
3,VenusaurMega Venusaur,625,76,107,119,121,124,78,1,0,Poison,1
3,VenusaurMega Venusaur,628,78,96,125,119,125,85,1,0,Poison,1
3,VenusaurMega Venusaur,600,78,90,122,110,121,79,1,0,Poison,1
3,VenusaurMega Venusaur,610,77,97,119,120,119,78,1,0,Poison,1
3,VenusaurMega Venusaur,622,76,105,123,117,124,77,1,0,Poison,1
3,VenusaurMega Venusaur,620,77,101,121,118,118,85,1,0,Poison,1
3,VenusaurMega Venusaur,624,80,98,115,128,120,83,1,0,Poison,1
3,VenusaurMega Venusaur,649,85,102,130,120,125,87,1,0,Poison,1
3,VenusaurMega Venusaur,646,79,104,130,132,128,73,1,0,Poison,1
3,VenusaurMega Venusaur,615,74,97,128,120,115,81,1,0,Poison,1
3,VenusaurMega Venusaur,634,86,101,128,125,116,78,1,0,Poison,1
3,VenusaurMega Venusaur,652,87,109,131,125,117,83,1,0,Poison,1
3,VenusaurMega Venusaur,627,83,97,123,123,116,85,1,0,Poison,1
3,VenusaurMega Venusaur,621,81,104,120,116,118,82,1,0,Poison,1
3,VenusaurMega Venusaur,638,86,99,123,121,126,83,1,0,Poison,1
3,VenusaurMega Venusaur,622,82,95,122,123,123,77,1,0,Poison,1
3,VenusaurMega Venusaur,636,79,103,120,125,127,82,1,0,Poison,1
3,VenusaurMega Venusaur,637,71,98,131,130,119,88,1,0,Poison,1
3,VenusaurMega Venusaur,631,79,103,126,116,127,80,1,0,Poison,1
3,VenusaurMega Venusaur,628,88,108,113,113,119,87,1,0,Poison,1
3,VenusaurMega Venusaur,629,83,103,112,130,118,83,1,0,Poison,1
3,VenusaurMega Venusaur,615,83,92,133,117,116,74,1,0,Poison,1
3,VenusaurMega Venusaur,613,79,107,113,118,119,77,1,0,Poison,1
3,VenusaurMega Venusaur,621,76,95,128,121,119,82,1,0,Poison,1
3,VenusaurMega Venusaur,623,88,92,121,126,115,81,1,0,Poison,1
3,VenusaurMega Venusaur,621,77,97,136,121,115,75,1,0,Poison,1
3,VenusaurMega Venusaur,618,86,98,121,115,118,80,1,0,Poison,1
3,VenusaurMega Venusaur,632,80,106,126,127,115,78,1,0,Poison,1
3,VenusaurMega Venusaur,628,83,104,114,124,125,78,1,0,Poison,1
3,VenusaurMega Venusaur,619,84,105,122,113,116,79,1,0,Poison,1
3,VenusaurMega Venusaur,627,81,107,117,120,114,88,1,0,Poison,1
3,VenusaurMega Venusaur,625,84,102,117,122,116,84,1,0,Poison,1
3,VenusaurMega Venusaur,633,84,103,126,112,124,84,1,0,Poison,1
3,VenusaurMega Venusaur,628,84,93,127,122,118,84,1,0,Poison,1
3,VenusaurMega Venusaur,624,80,106,121,124,117,76,1,0,Poison,1
3,VenusaurMega Venusaur,632,82,102,127,130,114,77,1,0,Poison,1
3,VenusaurMega Venusaur,645,82,95,123,128,133,84,1,0,Poison,1
3,VenusaurMega Venusaur,602,86,95,120,108,112,81,1,0,Poison,1
3,VenusaurMega Venusaur,642,77,100,129,132,120,84,1,0,Poison,1
3,VenusaurMega Venusaur,618,82,96,116,121,121,82,1,0,Poison,1
3,VenusaurMega Venusaur,632,83,101,122,123,114,89,1,0,Poison,1
3,VenusaurMega Venusaur,631,80,102,125,122,127,75,1,0,Poison,1
3,VenusaurMega Venusaur,616,82,103,125,109,116,81,1,0,Poison,1
3,VenusaurMega Venusaur,628,88,101,126,121,112,80,1,0,Poison,1
3,VenusaurMega Venusaur,620,78,97,115,124,129,77,1,0,Poison,1
3,VenusaurMega Venusaur,599,80,94,117,118,115,75,1,0,Poison,1
3,VenusaurMega Venusaur,608,74,103,122,125,107,77,1,0,Poison,1
3,VenusaurMega Venusaur,627,80,103,125,120,120,79,1,0,Poison,1
3,VenusaurMega Venusaur,636,79,99,120,123,132,83,1,0,Poison,1
3,VenusaurMega Venusaur,612,74,98,117,119,127,77,1,0,Poison,1
3,VenusaurMega Venusaur,622,77,100,124,128,118,75,1,0,Poison,1
3,VenusaurMega Venusaur,607,75,90,121,126,121,74,1,0,Poison,1
3,VenusaurMega Venusaur,617,85,87,126,124,115,80,1,0,Poison,1
3,VenusaurMega Venusaur,625,84,89,109,137,119,87,1,0,Poison,1
3,VenusaurMega Venusaur,621,80,99,120,122,125,75,1,0,Poison,1
3,VenusaurMega Venusaur,626,78,97,119,127,122,83,1,0,Poison,1
3,VenusaurMega Venusaur,623,75,99,122,126,122,79,1,0,Poison,1
4,Charmander,309,39,52,43,60,50,65,1,0,Fire,0
4,Charmander,294,39,51,43,54,49,58,1,0,Fire,1
